antibiotic,model_status,unsupported_reason,n_train,n_calibration,n_test,n_features,test_resistant_count,test_susceptible_count,test_resistant_prevalence,susceptible_threshold,resistant_threshold,threshold_requirement_met,threshold_failure_reason,full_evaluation_possible,evaluation_warning,deployment_candidate,tn,fp,fn,tp,balanced_accuracy,resistant_recall,susceptible_recall,resistant_precision,f1_resistant,auroc,pr_auc,brier_score,likely_to_work_count,likely_to_fail_count,no_call_count,coverage,no_call_rate,called_accuracy,called_balanced_accuracy,resistant_call_recall,susceptible_call_recall,precision_likely_to_fail,precision_likely_to_work,n_called,n_called_true_resistant,n_called_true_susceptible,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,resistant_recall_ci_lower,resistant_recall_ci_upper,susceptible_recall_ci_lower,susceptible_recall_ci_upper,f1_resistant_ci_lower,f1_resistant_ci_upper,auroc_ci_lower,auroc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,coverage_ci_lower,coverage_ci_upper,called_accuracy_ci_lower,called_accuracy_ci_upper,bootstrap_method,bootstrap_iterations,model_tier
cefazolin,unsupported,insufficient class diversity in calibration,23,7,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
cefepime,calibrated,,144,17,19,84.0,6.0,13.0,0.3157894736842105,0.4,0.55,False,called accuracy below target,True,,False,12.0,1.0,4.0,2.0,0.6282051282051282,0.3333333333333333,0.9230769230769232,0.6666666666666666,0.4444444444444444,0.608974358974359,0.5883458646616541,0.2106366297413258,16.0,3.0,0.0,1.0,0.0,0.7368421052631579,0.6282051282051282,0.3333333333333333,0.9230769230769232,0.6666666666666666,0.75,19.0,6.0,13.0,0.4333333333333333,0.8416666666666667,0.0,0.75,0.75,1.0,0.0,0.8,0.30375,0.915595238095238,0.2183974358974359,0.8937411020153935,0.087938031120135,0.3732357647571249,1.0,1.0,0.5263157894736842,0.9473684210526316,group-level,500.0,not_selected
cefotaxime,calibrated,,354,132,172,85.0,37.0,135.0,0.2151162790697674,0.1,0.6,True,,True,,False,134.0,1.0,36.0,1.0,0.5098098098098098,0.027027027027027,0.9925925925925926,0.5,0.0512820512820512,0.6669669669669671,0.3829727620869972,0.1586924516726253,50.0,1.0,121.0,0.2965116279069767,0.7034883720930233,0.9215686274509804,0.6,0.027027027027027,0.3407407407407407,1.0,0.92,51.0,5.0,46.0,0.4919354838709677,0.540266404199475,0.0,0.0833333333333333,0.9763671875,1.0,0.0,0.1538461538461538,0.573348062829532,0.7540269327129564,0.2646002300905855,0.53174296727407,0.1170310760370019,0.1992894280195987,0.2267441860465116,0.3662790697674418,0.8365398886827459,0.98059012066365,group-level,500.0,not_selected
cefotaxime/clavulanic acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,0,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
cefotetan,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,11,3,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
cefoxitin,calibrated,,69,17,21,64.0,13.0,8.0,0.6190476190476191,0.45,0.7,False,called accuracy below target; coverage below minimum; too few called samples,True,,False,3.0,5.0,4.0,9.0,0.5336538461538461,0.6923076923076923,0.375,0.6428571428571429,0.6666666666666666,0.4855769230769231,0.6381919164426905,0.2527049798494816,2.0,0.0,19.0,0.0952380952380952,0.9047619047619048,0.5,0.5,0.0,0.125,,0.5,2.0,1.0,1.0,0.3214285714285714,0.7523863636363635,0.4375,0.9259615384615384,0.0,0.6801282051282045,0.4275743707093821,0.8387096774193549,0.2062626262626262,0.7576869658119658,0.4357613451363451,0.8857146172863084,0.226485104487528,0.2808290319891035,0.0,0.238095238095238,0.0,1.0,group-level,500.0,not_selected
cefpodoxime,unsupported,insufficient class diversity in calibration,7,3,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
cefpodoxime_clavulanic_acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,7,2,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ceftazidime,calibrated,,628,241,260,127.0,43.0,217.0,0.1653846153846153,0.2,0.75,True,,True,,False,214.0,3.0,35.0,8.0,0.58611081341764,0.1860465116279069,0.9861751152073732,0.7272727272727273,0.2962962962962963,0.6656842782124103,0.4565702032467991,0.1158426414826315,222.0,6.0,32.0,0.8769230769230769,0.123076923076923,0.8859649122807017,0.5808080808080808,0.1162790697674418,0.9078341013824884,0.8333333333333334,0.8873873873873874,228.0,30.0,198.0,0.5345673660262892,0.6493816901084788,0.0863043478260869,0.3111111111111111,0.9680365296803652,1.0,0.1458758314855875,0.4530943396226415,0.5557749761262779,0.7702425455261208,0.3145780462284661,0.6042395947184465,0.087723815142158,0.139992745984127,0.8378378378378378,0.915554818744474,0.848563322906816,0.926101627630012,group-level,500.0,not_selected
ceftazidime/avibactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,7,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ceftiofur,unsupported,insufficient class diversity in calibration,11,5,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ceftolozane/tazobactam,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ceftriaxone,calibrated,,138,12,17,83.0,9.0,8.0,0.5294117647058824,0.35,0.7,True,,True,,False,1.0,7.0,1.0,8.0,0.5069444444444444,0.8888888888888888,0.125,0.5333333333333333,0.6666666666666666,0.5972222222222222,0.7390432098765434,0.3109792574540643,0.0,14.0,3.0,0.8235294117647058,0.1764705882352941,0.5,0.5,0.7777777777777778,0.0,0.5,,14.0,7.0,7.0,0.3571428571428571,0.6875,0.625,1.0,0.0,0.4229166666666664,0.4,0.8275862068965517,0.3055555555555556,0.8680357142857141,0.4331696428571429,0.9227127100840334,0.1852906105840018,0.4555428777097055,0.6470588235294118,1.0,0.2329185520361991,0.75,group-level,500.0,not_selected
cefuroxime,calibrated,,279,129,113,75.0,19.0,94.0,0.168141592920354,0.25,0.55,False,called accuracy below target,True,,False,94.0,0.0,19.0,0.0,0.5,0.0,1.0,,0.0,0.6760918253079506,0.4847284483366519,0.1356411039827023,97.0,0.0,16.0,0.8584070796460177,0.1415929203539823,0.8969072164948454,0.5,0.0,0.925531914893617,,0.8969072164948454,97.0,10.0,87.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.4967766168967586,0.832257281553398,0.2903205209800062,0.6948213576631838,0.1016687619431863,0.1748889521663877,0.7876106194690266,0.9203539823008848,0.8324122807017544,0.9565402339595888,group-level,500.0,not_selected
cephalothin,calibrated,,15,12,13,33.0,9.0,4.0,0.6923076923076923,0.35,0.55,True,,True,,False,2.0,2.0,1.0,8.0,0.6944444444444444,0.8888888888888888,0.5,0.8,0.8421052631578947,0.8611111111111112,0.9320987654320988,0.1347421048093336,3.0,9.0,1.0,0.9230769230769232,0.0769230769230769,0.8333333333333334,0.7777777777777777,0.8888888888888888,0.5,0.8888888888888888,0.6666666666666666,12.0,9.0,3.0,0.3925,1.0,0.625,1.0,0.0,1.0,0.6271381578947368,1.0,0.6,1.0,0.7811343864468864,1.0,0.0289695951207869,0.2671212064676988,0.7692307692307693,1.0,0.5833333333333334,1.0,group-level,500.0,demo
chloramphenicol,calibrated,,108,6,12,52.0,7.0,5.0,0.5833333333333334,0.25,0.55,False,too few called samples,True,,False,5.0,0.0,7.0,0.0,0.5,0.0,1.0,,0.0,0.3857142857142857,0.6533189033189033,0.4724566008413973,10.0,0.0,2.0,0.8333333333333334,0.1666666666666666,0.5,0.5,0.0,1.0,,0.5,10.0,5.0,5.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0916666666666666,0.75,0.3691666666666667,0.9016414141414142,0.2390838320617092,0.7070911511189925,0.5833333333333334,1.0,0.2,0.8,group-level,500.0,not_selected
ciprofloxacin,calibrated,,624,272,258,110.0,50.0,208.0,0.1937984496124031,0.15,0.55,True,,True,,False,200.0,8.0,22.0,28.0,0.7607692307692309,0.56,0.9615384615384616,0.7777777777777778,0.6511627906976745,0.823173076923077,0.7118135982619235,0.1032288752906298,44.0,31.0,183.0,0.2906976744186046,0.7093023255813954,0.9066666666666666,0.9110942249240122,0.52,0.2019230769230769,0.8387096774193549,0.9545454545454546,75.0,28.0,47.0,0.6885033115438043,0.8309153891789424,0.4141925988225399,0.6900862068965518,0.9346000704721636,0.9856818181818182,0.5187938288920056,0.7663551401869159,0.7358435526677038,0.8963483227041509,0.5778747506309954,0.8170358365487165,0.0827958792100437,0.125349716756963,0.2334630350194552,0.3474903474903475,0.8353125,0.9634315037929496,group-level,500.0,demo
colistin,unsupported,insufficient class diversity in calibration,16,2,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
doripenem,unsupported,insufficient class diversity in calibration,9,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
doxycycline,unsupported,insufficient class diversity in calibration,6,3,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ertapenem,calibrated,,64,11,10,78.0,2.0,8.0,0.2,0.4,0.55,False,called accuracy below target,True,,False,8.0,0.0,2.0,0.0,0.5,0.0,1.0,,0.0,0.625,0.625,0.1502592816084831,9.0,0.0,1.0,0.9,0.1,0.8888888888888888,0.5,0.0,1.0,,0.8888888888888888,9.0,1.0,8.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.0741470129378688,0.2497669480059466,0.7,1.0,0.6666666666666666,1.0,group-level,500.0,not_selected
erythromycin,calibrated,,15,6,5,30.0,1.0,4.0,0.2,0.05,0.95,False,coverage below minimum; too few called samples; both true classes not represented among calls; no threshold pair in the search grid produced any called prediction (calibrated probabilities never left the no-call zone),True,,False,0.0,4.0,0.0,1.0,0.5,1.0,0.0,0.2,0.3333333333333333,0.5,0.2,0.25,0.0,0.0,5.0,0.0,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.75,0.5,0.5,0.2,0.6,0.25,0.25,0.0,0.0,,,group-level,500.0,not_selected
fosfomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,21,3,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
gentamicin,calibrated,,626,269,253,143.0,38.0,215.0,0.150197628458498,0.45,0.55,True,,True,,False,214.0,1.0,36.0,2.0,0.5239902080783354,0.0526315789473684,0.9953488372093025,0.6666666666666666,0.0975609756097561,0.7105263157894736,0.4041738881895664,0.1146991783338034,250.0,2.0,1.0,0.9960474308300395,0.0039525691699604,0.8571428571428571,0.5263157894736842,0.0526315789473684,0.9953488372093025,1.0,0.856,252.0,38.0,214.0,0.4953703703703703,0.5663527397260274,0.0,0.138433908045977,0.9821334608945228,1.0,0.0,0.2367647058823528,0.6047488532110091,0.8113612877986437,0.264551604902002,0.5677334869400604,0.084145634729207,0.1462970693883563,0.984310408464567,1.0,0.8144861958416335,0.8980481189291258,group-level,500.0,not_selected
imipenem,unsupported,insufficient class diversity in calibration,80,29,24,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
kanamycin,unsupported,insufficient class diversity in calibration,4,2,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
levofloxacin,unsupported,insufficient class diversity in calibration,36,4,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
lincomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,10,0,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
linezolid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
meropenem,calibrated,,542,218,206,123.0,3.0,203.0,0.0145631067961165,0.05,0.55,True,,True,,False,203.0,0.0,3.0,0.0,0.5,0.0,1.0,,0.0,0.4827586206896551,0.3436453201970443,0.0142724195315155,206.0,0.0,0.0,1.0,0.0,0.9854368932038836,0.5,0.0,1.0,,0.9854368932038836,206.0,3.0,203.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.1365853658536585,1.0,0.0057175697865353,1.0,0.0001480006795115,0.0287001959376798,1.0,1.0,0.9707317073170731,1.0,group-level,500.0,not_selected
minocycline,unsupported,insufficient class diversity in calibration,19,2,3,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
moxifloxacin,unsupported,insufficient class diversity in calibration; no hidden-test samples,11,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
nalidixic acid,calibrated,,86,23,26,36.0,5.0,21.0,0.1923076923076923,0.3,0.55,False,called accuracy below target,True,,False,20.0,1.0,3.0,2.0,0.6761904761904762,0.4,0.9523809523809524,0.6666666666666666,0.5,0.6904761904761905,0.5232323232323233,0.1359647589358743,20.0,2.0,4.0,0.8461538461538461,0.1538461538461538,0.8636363636363636,0.6403508771929824,0.2,0.8571428571428571,0.5,0.9,22.0,3.0,19.0,0.4741071428571428,0.9592083333333332,0.0,1.0,0.8421052631578947,1.0,0.0,0.8665178571428567,0.339406941266209,0.9855072463768116,0.1242099567099567,0.9334350036310816,0.0777738015174808,0.2119110115464653,0.6923076923076923,0.9615384615384616,0.7,1.0,group-level,500.0,demo
neomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
nitrofurantoin,unsupported,insufficient class diversity in calibration,78,9,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
norfloxacin,unsupported,insufficient class diversity in calibration,67,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
ofloxacin,unsupported,insufficient class diversity in calibration; no hidden-test samples,6,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
oxytetracycline,unsupported,insufficient class diversity in calibration,12,0,2,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
penicillin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
piperacillin,unsupported,insufficient class diversity in calibration; no hidden-test samples,5,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
piperacillin/tazobactam,calibrated,,366,149,135,94.0,6.0,129.0,0.0444444444444444,0.2,0.55,True,,True,,False,129.0,0.0,6.0,0.0,0.5,0.0,1.0,,0.0,0.4974160206718346,0.1257625116535299,0.0428847906360988,135.0,0.0,0.0,1.0,0.0,0.9555555555555556,0.5,0.0,1.0,,0.9555555555555556,135.0,6.0,129.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.1857012002682604,0.8109437003968254,0.0172767176836944,0.4948678932995572,0.0168936069163298,0.0693978570861667,1.0,1.0,0.925925925925926,0.9851851851851852,group-level,500.0,not_selected
rifampin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,2,1,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
streptomycin,unsupported,insufficient class diversity in calibration,67,3,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
sulfamethoxazole,unsupported,insufficient class diversity in calibration,36,2,5,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
sulfamethoxazole/trimethoprim,unsupported,insufficient class diversity in calibration,6,1,1,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
sulfisoxazole,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,3,1,4,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
tetracycline,calibrated,,114,8,10,67.0,6.0,4.0,0.6,0.4,0.55,False,coverage below minimum; too few called samples,True,,False,3.0,1.0,3.0,3.0,0.625,0.5,0.75,0.75,0.6,0.6458333333333333,0.825925925925926,0.2302752738943604,0.0,1.0,9.0,0.1,0.9,1.0,,0.1666666666666666,0.0,1.0,,1.0,1.0,0.0,0.304047619047619,0.9,0.0562500000000001,0.9437500000000014,0.0900000000000002,1.0,0.0850000000000001,0.9005050505050503,0.2882440476190476,1.0,0.5166666666666666,1.0,0.1767545852221765,0.2741348855596529,0.0,0.3,1.0,1.0,group-level,500.0,not_selected
ticarcillin/clavulanic acid,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
tigecycline,unsupported,insufficient class diversity in training; insufficient class diversity in calibration,235,92,74,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
tobramycin,calibrated,,136,29,30,81.0,11.0,19.0,0.3666666666666666,0.3,0.55,False,called accuracy below target,True,,False,17.0,2.0,9.0,2.0,0.5382775119617225,0.1818181818181818,0.8947368421052632,0.5,0.2666666666666666,0.5239234449760766,0.4565759683150988,0.2378477158772452,10.0,2.0,18.0,0.4,0.6,0.5,0.5,0.0909090909090909,0.2631578947368421,0.5,0.5,12.0,6.0,6.0,0.4140576475155279,0.6666666666666667,0.0,0.4166666666666667,0.7318181818181818,1.0,0.0,0.5,0.2840553977272727,0.7671381987577638,0.2567304607413155,0.7721005732089475,0.1754425550760386,0.3098657514327289,0.2333333333333333,0.5666666666666667,0.2,0.8,group-level,500.0,not_selected
trimethoprim,calibrated,,124,14,20,56.0,8.0,12.0,0.4,0.45,0.55,False,called accuracy below target; too few called samples,True,,False,8.0,4.0,7.0,1.0,0.3958333333333333,0.125,0.6666666666666666,0.2,0.1538461538461538,0.3541666666666666,0.3391898864809081,0.2879602738608088,3.0,4.0,13.0,0.35,0.65,0.1428571428571428,0.1,0.0,0.0833333333333333,0.0,0.3333333333333333,7.0,2.0,5.0,0.2203993055555555,0.5757575757575758,0.0,0.3881249999999994,0.3690340909090909,0.9166666666666666,0.0,0.4369047619047615,0.14825,0.6157925407925408,0.1756985294117647,0.5988499490705373,0.2517723593164303,0.325707506794839,0.15,0.55,0.0,0.5,group-level,500.0,not_selected
trimethoprim/sulfamethoxazole,calibrated,,273,87,95,85.0,27.0,68.0,0.2842105263157894,0.25,0.55,False,called accuracy below target; coverage below minimum,True,,False,64.0,4.0,14.0,13.0,0.7113289760348583,0.4814814814814814,0.9411764705882352,0.7647058823529411,0.5909090909090909,0.7764161220043574,0.7066366623691738,0.1674470194165164,14.0,15.0,66.0,0.3052631578947368,0.6947368421052632,0.8275862068965517,0.8293269230769231,0.4814814814814814,0.1617647058823529,0.8666666666666667,0.7857142857142857,29.0,16.0,13.0,0.6119677151318009,0.8148265006666017,0.3005656108597285,0.6900240384615384,0.8873239436619719,0.9858199195171028,0.3895325203252032,0.75,0.6429464285714286,0.8993865055272352,0.5230890083368203,0.8447559357983941,0.1403480057176173,0.1980711231217964,0.2144325657894737,0.4010824742268041,0.6867967332123412,0.9555830039525692,group-level,500.0,demo
vancomycin,unsupported,insufficient class diversity in training; insufficient class diversity in calibration; no hidden-test samples,1,0,0,,,,,,,,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_selected
